"";"word";"n"
"1";"Manejo";110
"2";"Processo";81
"3";"ZEE";72
"4";"Pesca";65
"5";"Lucila";63
"6";"Gestão";53
"7";"TDR";53
"8";"Revisão";51
"9";"Zoneamento";51
"10";"Discussão";48
"11";"Participação";47
"12";"Recursos";45
"13";"Proposta";44
"14";"Ambiental";43
"15";"Conservação";43
"16";"Trabalho";43
"17";"Áreas";42
"18";"Elaboração";42
"19";"Lembra";40
"20";"Sociedade";39
"21";"Gestor";38
"22";"Setor";38
"23";"Atividades";36
"24";"Informações";35
"25";"Uso";35
"26";"Caso";34
"27";"Dados";34
"28";"Pesquisa";34
"29";"Zona";34
"30";"Avaliação";33
"31";"Setores";32
"32";"Explica";31
"33";"Diretrizes";30
"34";"Zonas";29
"35";"Empresa";28
"36";"Ambiente";27
"37";"Gerco";27
"38";"Estado";26
"39";"Planos";26
"40";"Fala";25
"41";"Necessidade";25
"42";"Regimento";25
"43";"Conhecimento";24
"44";"Estadual";24
"45";"Forma";24
"46";"Participar";24
"47";"Assu";23
"48";"Discutir";23
"49";"Ocupação";23
"50";"Participativo";23
"51";"Planejamento";23
"52";"Região";23
"53";"Ilhabela";22
"54";"Oficinas";22
"55";"Importância";21
"56";"Social";21
"57";"Sugestões";21
"58";"Unidades";21
"59";"Ações";20
"60";"Definição";20
"61";"Meio";20
"62";"Análise";19
"63";"Decreto";19
"64";"Existem";19
"65";"Fundação";19
"66";"Instituto";19
"67";"Interno";19
"68";"Mosaico";19
"69";"Poluição";19
"70";"Questiona";19
"71";"Sustentabilidade";19
"72";"Apas";18
"73";"Devem";18
"74";"Fiscalização";18
"75";"Inicia";18
"76";"Momento";18
"77";"Programas";18
"78";"Propostas";18
"79";"Próxima";18
"80";"Solicita";18
"81";"Termo";18
"82";"Território";18
"83";"Unidade";18
"84";"Ação";17
"85";"Bem";17
"86";"Consultoria";17
"87";"Cpla";17
"88";"Diálogo";17
"89";"Florestal";17
"90";"Informação";17
"91";"Mapa";17
"92";"Partir";17
"93";"População";17
"94";"Programa";17
"95";"Saneamento";17
"96";"Setorial";17
"97";"Tempo";17
"98";"Ip";16
"99";"Marinho";16
"100";"Podem";16
"101";"Acompanhamento";15
"102";"Apenas";15
"103";"Banco";15
"104";"Câmara";15
"105";"Construção";15
"106";"Contratação";15
"107";"Diagnóstico";15
"108";"Diferentes";15
"109";"Estar";15
"110";"Falta";15
"111";"Feito";15
"112";"Instrumento";15
"113";"Neste";15
"114";"Normas";15
"115";"Objetivo";15
"116";"Pessoas";15
"117";"Poder";15
"118";"Responde";15
"119";"Técnica";15
"120";"Vez";15
"121";"Além";14
"122";"Alguns";14
"123";"Critérios";14
"124";"Dizendo";14
"125";"Esclarece";14
"126";"Municípios";14
"127";"Ordenamento";14
"128";"Ortiz";14
"129";"Outras";14
"130";"Prefeitura";14
"131";"Queremos";14
"132";"Recurso";14
"133";"Segundo";14
"134";"Todo";14
"135";"Ambientais";13
"136";"Civil";13
"137";"Conflitos";13
"138";"Criação";13
"139";"Criar";13
"140";"Devese";13
"141";"Durante";13
"142";"Final";13
"143";"Histórico";13
"144";"Marcos";13
"145";"Acordo";12
"146";"Alex";12
"147";"Algumas";12
"148";"Ano";12
"149";"Anos";12
"150";"Base";12
"151";"Considera";12
"152";"Contratada";12
"153";"Instituições";12
"154";"Lei";12
"155";"Locais";12
"156";"Maurici";12
"157";"Metodologia";12
"158";"Outro";12
"159";"Outros";12
"160";"Parte";12
"161";"Pauta";12
"162";"Pensar";12
"163";"Prefeituras";12
"164";"Propõe";12
"165";"Ressalta";12
"166";"Tema";12
"167";"Atividade";11
"168";"Atores";11
"169";"Caraguatatuba";11
"170";"Comunicação";11
"171";"Comunidades";11
"172";"Considerando";11
"173";"Destaca";11
"174";"Deverá";11
"175";"Ecológico";11
"176";"Equipe";11
"177";"Fato";11
"178";"Função";11
"179";"Idéia";11
"180";"Licenciamento";11
"181";"Maior";11
"182";"Mapas";11
"183";"Marinhas";11
"184";"Poderá";11
"185";"Polícia";11
"186";"Presença";11
"187";"Produto";11
"188";"Projetos";11
"189";"Proteção";11
"190";"Quórum";11
"191";"Relação";11
"192";"Roteiro";11
"193";"Sebastião";11
"194";"Sustentável";11
"195";"Técnico";11
"196";"Trabalhos";11
"197";"Ubatuba";11
"198";"Última";11
"199";"Ajudar";10
"200";"Aprovação";10
"201";"Chegar";10
"202";"Comunidade";10
"203";"Construtores";10
"204";"Costeiro";10
"205";"Criado";10
"206";"Dar";10
"207";"Decisão";10
"208";"Diretor";10
"209";"Dois";10
"210";"Ecossistemas";10
"211";"Entidade";10
"212";"Entorno";10
"213";"Estratégica";10
"214";"Estudos";10
"215";"Execução";10
"216";"Faz";10
"217";"Fontes";10
"218";"Gerenciamento";10
"219";"Impactos";10
"220";"Legislação";10
