"";"word";"n"
"1";"Lucila";87
"2";"Pesca";57
"3";"Porto";50
"4";"Gestor";36
"5";"Manejo";35
"6";"Ibama";33
"7";"Licenciamento";31
"8";"Processo";30
"9";"Sebastião";30
"10";"Próxima";28
"11";"Setor";28
"12";"Caraguatatuba";27
"13";"Técnica";27
"14";"Produção";26
"15";"Manifestação";25
"16";"Trabalho";23
"17";"Ano";22
"18";"Conservação";21
"19";"Ações";20
"20";"Após";20
"21";"Fundação";20
"22";"Couto";19
"23";"Deste";19
"24";"Iniciou";19
"25";"Maricultura";19
"26";"Atividade";18
"27";"Através";18
"28";"Audiência";18
"29";"EIA";18
"30";"Florestal";18
"31";"Forma";18
"32";"Marcus";18
"33";"Ambiental";17
"34";"Cbhln";17
"35";"EIArima";17
"36";"Unidades";17
"37";"Além";16
"38";"Carolina";16
"39";"Dizendo";16
"40";"Função";16
"41";"Marcos";16
"42";"Pescadores";16
"43";"Proposta";16
"44";"Atividades";15
"45";"CT";15
"46";"Impacto";15
"47";"Impactos";15
"48";"Maneira";15
"49";"Questiona";15
"50";"Região";15
"51";"Seguida";15
"52";"Áreas";14
"53";"Criação";14
"54";"Dados";14
"55";"Embarcações";14
"56";"Estado";14
"57";"Pauta";14
"58";"Pré-Sal";14
"59";"Realizada";14
"60";"Saneamento";14
"61";"Unidade";14
"62";"Diagnóstico";13
"63";"Discussão";13
"64";"Gerco";13
"65";"Ilha";13
"66";"Ilhabela";13
"67";"Leonardo";13
"68";"Mara";13
"69";"Prazo";13
"70";"Presença";13
"71";"Todo";13
"72";"Turismo";13
"73";"Uso";13
"74";"Afirma";12
"75";"Ampliação";12
"76";"Apenas";12
"77";"Aprovada";12
"78";"Atualmente";12
"79";"Canal";12
"80";"Comunidades";12
"81";"Data";12
"82";"Devem";12
"83";"Esclareceu";12
"84";"Estadual";12
"85";"Fez";12
"86";"Final";12
"87";"Informação";12
"88";"Julho";12
"89";"Oportunidade";12
"90";"Palavra";12
"91";"Pesquisa";12
"92";"Questionou";12
"93";"Responsável";12
"94";"Rima";12
"95";"Tema";12
"96";"Zona";12
"97";"Anos";11
"98";"Cerco";11
"99";"Ficou";11
"100";"Gás";11
"101";"Hmin";11
"102";"Junto";11
"103";"Meio";11
"104";"Momento";11
"105";"Navios";11
"106";"Pesm";11
"107";"Petrobras";11
"108";"Porém";11
"109";"Primeira";11
"110";"Santos";11
"111";"Texto";11
"112";"Alexandre";10
"113";"Algumas";10
"114";"Anterior";10
"115";"Apresenta";10
"116";"Apresentou";10
"117";"Cerca";10
"118";"Contestação";10
"119";"Donos";10
"120";"Educação";10
"121";"Feito";10
"122";"Item";10
"123";"Moção";10
"124";"Municípios";10
"125";"Objetivo";10
"126";"Outros";10
"127";"Parque";10
"128";"Partir";10
"129";"Pesqueiro";10
"130";"Possui";10
"131";"Programa";10
"132";"Projetos";10
"133";"Pública";10
"134";"Regimento";10
"135";"Relembrou";10
"136";"Vez";10
"137";"Agosto";9
"138";"Agradecendo";9
"139";"Aprovação";9
"140";"Avaliação";9
"141";"Bacia";9
"142";"Biênio";9
"143";"Caso";9
"144";"Cercoflutuante";9
"145";"Comunidade";9
"146";"Desenvolvimento";9
"147";"Durante";9
"148";"Embarcação";9
"149";"Empreendimento";9
"150";"Fundeio";9
"151";"Hoje";9
"152";"Importância";9
"153";"Ingo";9
"154";"Irá";9
"155";"Mil";9
"156";"Neste";9
"157";"Paulo";9
"158";"Peib";9
"159";"Sistema";9
"160";"Tércio";9
"161";"Trabalhar";9
"162";"Transporte";9
"163";"Acordo";8
"164";"Alguns";8
"165";"Alteração";8
"166";"Apresentado";8
"167";"Aprovado";8
"168";"Base";8
"169";"Bem";8
"170";"Câmara";8
"171";"Construção";8
"172";"Denise";8
"173";"Dez";8
"174";"Escoamento";8
"175";"Esec";8
"176";"Explica";8
"177";"Fala";8
"178";"Fase";8
"179";"Fiscalização";8
"180";"Gestão";8
"181";"Hrs";8
"182";"Inclui";8
"183";"Inclusão";8
"184";"Integrados";8
"185";"Legislação";8
"186";"Linha";8
"187";"M";8
"188";"Mar";8
